Test ID,Drop Point,Result
895,7.11,9
896,7.128,9
897,7.146,9
898,7.164,8.99998
899,7.182,8.99998
900,7.2,9
901,7.218,9
902,7.236,9
903,7.254,9
904,7.272,9
905,7.29,9
906,7.308,9
907,7.326,8.99994
908,7.344,9
909,7.362,8.99955
910,7.38,9
911,7.398,8.99958
912,7.416,9
913,7.434,8.98956
914,7.452,9
915,7.47,9
916,7.488,6.00332
917,7.506,9
918,7.524,9
919,7.542,NULL
920,7.56,NULL
921,7.578,9
922,7.596,6.00208
923,7.614,9
924,7.632,5.99365
925,7.65,NULL
926,7.668,6.00139
927,7.686,5.99421
928,7.704,NULL
929,7.722,6.00035
930,7.74,3.00526
931,7.758,2.99945
932,7.776,NULL
933,7.794,NULL
934,7.812,NULL
935,7.83,NULL
936,7.848,NULL
937,7.866,5.99989
938,7.884,NULL
939,7.902,NULL
940,7.92,9
941,7.938,9
942,7.956,9
943,7.974,9
944,7.992,8.99968
945,8.01,8.99969
946,8.028,9
947,8.046,NULL
948,8.064,NULL
949,8.082,NULL
950,8.1,NULL
951,8.118,NULL
952,8.136,9
953,8.154,9
954,8.172,NULL
955,8.19,6.00497
956,8.208,NULL
957,8.226,8.99968
958,8.244,5.99461
959,8.262,NULL
960,8.28,8.99954
961,8.298,8.99952
962,8.316,9
963,8.334,8.99989
964,8.352,9
965,8.37,9
966,8.388,9
967,8.406,9
968,8.424,8.99966
969,8.442,8.99976
970,8.46,8.99968
971,8.478,9
972,8.496,9
973,8.514,8.99962
974,8.532,NULL
975,8.55,9
976,8.568,8.99998
977,8.586,NULL
978,8.604,2.99949
979,8.622,NULL
980,8.64,NULL
981,8.658,NULL
982,8.676,NULL
983,8.694,NULL
984,8.712,NULL
985,8.73,NULL
986,8.748,NULL
987,8.766,NULL
988,8.784,6.00165
989,8.802,2.9955
990,8.82,NULL
991,8.838,NULL
992,8.856,NULL
993,8.874,NULL
994,8.892,NULL
995,8.91,NULL
996,8.928,NULL
997,8.946,NULL
998,8.964,9
999,8.982,2.99762
